titleType,primaryTitle,isAdult,year,runtimeMinutes,genres,averageRating,numVotes
movie,The Thomas Crown Affair,0,1999,113,Crime,6.9,91492
movie,The Thomas Crown Affair,0,1999,113,Romance,6.9,91492
movie,The Thomas Crown Affair,0,1999,113,Thriller,6.9,91492
movie,Jawbreaker,0,1999,87,Comedy,5.7,25878
movie,Jawbreaker,0,1999,87,Crime,5.7,25878
movie,Jawbreaker,0,1999,87,Thriller,5.7,25878
movie,Psycho,0,1998,105,Horror,4.6,47665
movie,Psycho,0,1998,105,Mystery,4.6,47665
movie,Psycho,0,1998,105,Thriller,4.6,47665
movie,Perfect Blue,0,1997,81,Animation,8.0,69438
movie,Perfect Blue,0,1997,81,Crime,8.0,69438
movie,Perfect Blue,0,1997,81,Drama,8.0,69438
movie,Drop Dead Gorgeous,0,1999,97,Comedy,6.6,36350
movie,Drop Dead Gorgeous,0,1999,97,Romance,6.6,36350
movie,Drop Dead Gorgeous,0,1999,97,Thriller,6.6,36350
movie,Sweet and Lowdown,0,1999,95,Comedy,7.2,34725
movie,Sweet and Lowdown,0,1999,95,Drama,7.2,34725
movie,Sweet and Lowdown,0,1999,95,Music,7.2,34725
movie,"South Park: Bigger, Longer & Uncut",0,1999,81,Animation,7.7,200788
movie,"South Park: Bigger, Longer & Uncut",0,1999,81,Comedy,7.7,200788
movie,"South Park: Bigger, Longer & Uncut",0,1999,81,Fantasy,7.7,200788
movie,The Virgin Suicides,0,1999,97,Drama,7.2,151222
movie,The Virgin Suicides,0,1999,97,Romance,7.2,151222
movie,Behind Enemy Lines,0,2001,106,Action,6.4,103738
movie,Behind Enemy Lines,0,2001,106,Drama,6.4,103738
movie,Behind Enemy Lines,0,2001,106,Thriller,6.4,103738
movie,Cold Mountain,0,2003,154,Adventure,7.2,146214
movie,Cold Mountain,0,2003,154,Drama,7.2,146214
movie,Cold Mountain,0,2003,154,History,7.2,146214
movie,The Art of War,0,2000,117,Action,5.7,29688
movie,The Art of War,0,2000,117,Adventure,5.7,29688
movie,The Art of War,0,2000,117,Crime,5.7,29688
movie,Charlie's Angels,0,2000,98,Action,5.6,184282
movie,Charlie's Angels,0,2000,98,Adventure,5.6,184282
movie,Charlie's Angels,0,2000,98,Comedy,5.6,184282
movie,Eye See You,0,2002,96,Crime,5.3,26274
movie,Eye See You,0,2002,96,Thriller,5.3,26274
movie,Rules of Engagement,0,2000,128,Drama,6.4,46896
movie,Rules of Engagement,0,2000,128,Thriller,6.4,46896
movie,Rules of Engagement,0,2000,128,War,6.4,46896
movie,She's All That,0,1999,95,Comedy,5.9,93564
movie,She's All That,0,1999,95,Romance,5.9,93564
movie,What Lies Beneath,0,2000,130,Drama,6.6,123460
movie,What Lies Beneath,0,2000,130,Horror,6.6,123460
movie,What Lies Beneath,0,2000,130,Mystery,6.6,123460
movie,Cast Away,0,2000,143,Adventure,7.8,567715
movie,Cast Away,0,2000,143,Drama,7.8,567715
movie,Cast Away,0,2000,143,Romance,7.8,567715
movie,Ghost World,0,2001,111,Comedy,7.3,119035
movie,Ghost World,0,2001,111,Drama,7.3,119035
movie,Shaft,0,2000,99,Action,6.0,76221
movie,Shaft,0,2000,99,Crime,6.0,76221
movie,Shaft,0,2000,99,Thriller,6.0,76221
movie,Sleepy Hollow,0,1999,105,Fantasy,7.3,349319
movie,Sleepy Hollow,0,1999,105,Horror,7.3,349319
movie,Sleepy Hollow,0,1999,105,Mystery,7.3,349319
movie,Summer of Sam,0,1999,142,Crime,6.7,38077
movie,Summer of Sam,0,1999,142,Drama,6.7,38077
movie,Summer of Sam,0,1999,142,Romance,6.7,38077
movie,Jurassic Park III,0,2001,92,Action,5.9,309542
movie,Jurassic Park III,0,2001,92,Adventure,5.9,309542
movie,Jurassic Park III,0,2001,92,Sci-Fi,5.9,309542
movie,Runaway Bride,0,1999,116,Comedy,5.6,97071
movie,Runaway Bride,0,1999,116,Romance,5.6,97071
movie,American Pie,0,1999,95,Comedy,7.0,395333
movie,The Beach,0,2000,119,Adventure,6.7,233743
movie,The Beach,0,2000,119,Drama,6.7,233743
movie,The Beach,0,2000,119,Romance,6.7,233743
movie,Bringing Out the Dead,0,1999,121,Drama,6.8,67587
movie,Bringing Out the Dead,0,1999,121,Thriller,6.8,67587
movie,Hollow Man,0,2000,112,Action,5.8,129108
movie,Hollow Man,0,2000,112,Horror,5.8,129108
movie,Hollow Man,0,2000,112,Sci-Fi,5.8,129108
movie,Stir of Echoes,0,1999,99,Horror,7.0,80018
movie,Stir of Echoes,0,1999,99,Mystery,7.0,80018
movie,Stir of Echoes,0,1999,99,Thriller,7.0,80018
movie,The Sum of All Fears,0,2002,124,Action,6.4,112950
movie,The Sum of All Fears,0,2002,124,Drama,6.4,112950
movie,The Sum of All Fears,0,2002,124,Thriller,6.4,112950
movie,Along Came a Spider,0,2001,104,Drama,6.4,83212
movie,Along Came a Spider,0,2001,104,Thriller,6.4,83212
movie,Dil Se..,0,1998,144,Drama,7.6,28179
movie,Dil Se..,0,1998,144,Romance,7.6,28179
movie,Stuart Little,0,1999,84,Adventure,5.9,131661
movie,Stuart Little,0,1999,84,Comedy,5.9,131661
movie,Stuart Little,0,1999,84,Family,5.9,131661
movie,Detroit Rock City,0,1999,95,Comedy,6.9,38652
movie,Detroit Rock City,0,1999,95,Music,6.9,38652
movie,Ghost Dog: The Way of the Samurai,0,1999,116,Crime,7.5,89492
movie,Ghost Dog: The Way of the Samurai,0,1999,116,Drama,7.5,89492
movie,Interstate 60: Episodes of the Road,0,2002,116,Adventure,7.7,31863
movie,Interstate 60: Episodes of the Road,0,2002,116,Comedy,7.7,31863
movie,Interstate 60: Episodes of the Road,0,2002,116,Drama,7.7,31863
movie,The Limey,0,1999,89,Crime,7.0,32187
movie,The Limey,0,1999,89,Drama,7.0,32187
movie,The Limey,0,1999,89,Mystery,7.0,32187
movie,Romeo Must Die,0,2000,115,Action,6.1,69561
movie,Romeo Must Die,0,2000,115,Crime,6.1,69561
movie,Romeo Must Die,0,2000,115,Thriller,6.1,69561
movie,Sinbad: Legend of the Seven Seas,0,2003,88,Adventure,6.7,53047
movie,Sinbad: Legend of the Seven Seas,0,2003,88,Animation,6.7,53047
movie,Sinbad: Legend of the Seven Seas,0,2003,88,Comedy,6.7,53047
movie,Waking Ned Devine,0,1998,91,Comedy,7.4,26224
movie,Anna and the King,0,1999,148,Drama,6.7,36993
movie,Anna and the King,0,1999,148,History,6.7,36993
movie,Anna and the King,0,1999,148,Romance,6.7,36993
movie,Spirit: Stallion of the Cimarron,0,2002,83,Adventure,7.2,73133
movie,Spirit: Stallion of the Cimarron,0,2002,83,Animation,7.2,73133
movie,Spirit: Stallion of the Cimarron,0,2002,83,Drama,7.2,73133
movie,The Straight Story,0,1999,112,Biography,8.0,88425
movie,The Straight Story,0,1999,112,Drama,8.0,88425
movie,Mulholland Drive,0,2001,147,Drama,7.9,344141
movie,Mulholland Drive,0,2001,147,Mystery,7.9,344141
movie,Mulholland Drive,0,2001,147,Thriller,7.9,344141
movie,Hellboy,0,2004,122,Action,6.8,320077
movie,Hellboy,0,2004,122,Adventure,6.8,320077
movie,Hellboy,0,2004,122,Fantasy,6.8,320077
movie,The Lord of the Rings: The Return of the King,0,2003,201,Action,8.9,1751657
movie,The Lord of the Rings: The Return of the King,0,2003,201,Adventure,8.9,1751657
movie,The Lord of the Rings: The Return of the King,0,2003,201,Drama,8.9,1751657
movie,The Lord of the Rings: The Two Towers,0,2002,179,Action,8.7,1582618
movie,The Lord of the Rings: The Two Towers,0,2002,179,Adventure,8.7,1582618
movie,The Lord of the Rings: The Two Towers,0,2002,179,Drama,8.7,1582618
movie,The Sixth Sense,0,1999,107,Drama,8.1,957902
movie,The Sixth Sense,0,1999,107,Mystery,8.1,957902
movie,The Sixth Sense,0,1999,107,Thriller,8.1,957902
movie,Dancer in the Dark,0,2000,140,Crime,8.0,107577
movie,Dancer in the Dark,0,2000,140,Drama,8.0,107577
movie,Dancer in the Dark,0,2000,140,Musical,8.0,107577
movie,Antwone Fisher,0,2002,120,Biography,7.3,35194
movie,Antwone Fisher,0,2002,120,Drama,7.3,35194
movie,Lagaan: Once Upon a Time in India,0,2001,224,Drama,8.1,110888
movie,Lagaan: Once Upon a Time in India,0,2001,224,Musical,8.1,110888
movie,Lagaan: Once Upon a Time in India,0,2001,224,Sport,8.1,110888
movie,American Beauty,0,1999,122,Drama,8.3,1121250
movie,Neon Genesis Evangelion: The End of Evangelion,0,1997,87,Action,8.1,50419
movie,Neon Genesis Evangelion: The End of Evangelion,0,1997,87,Animation,8.1,50419
movie,Neon Genesis Evangelion: The End of Evangelion,0,1997,87,Drama,8.1,50419
movie,How the Grinch Stole Christmas,0,2000,104,Comedy,6.2,238172
movie,How the Grinch Stole Christmas,0,2000,104,Family,6.2,238172
movie,How the Grinch Stole Christmas,0,2000,104,Fantasy,6.2,238172
movie,Tigerland,0,2000,101,Drama,7.0,40681
movie,Tigerland,0,2000,101,War,7.0,40681
movie,The Haunting,0,1999,113,Fantasy,5.0,75170
movie,The Haunting,0,1999,113,Horror,5.0,75170
movie,The Haunting,0,1999,113,Mystery,5.0,75170
movie,Keeping the Faith,0,2000,128,Comedy,6.4,51458
movie,Keeping the Faith,0,2000,128,Drama,6.4,51458
movie,Keeping the Faith,0,2000,128,Romance,6.4,51458
movie,Nurse Betty,0,2000,110,Comedy,6.2,34996
